rendas,1
abastanças,2
certamente,2
nó,1
permaneça,1
estará,2
ofereça,2
embaixadores,2
tomaria,1
informandose,1
entanto,5
repousar,1
talho,1
canseiras,1
ceve,1
trabalhados,1
ocupando,1
dados,2
índica,1
ígneos,1
carros,2
délio,2
renova,1
poderse,1
informar,1
particularmente,1
soubesse,1
tornaposto,1
dizerte,1
saberia,1
gerado,1
detrimento,1
bafo,1
vulgado,1
sanguinolento,2
sobrehumana,1
abundosos,1
fresco,3
tomandonos,1
aconteças,1
belígeras,1
pírene,1
desçam,1
conheçam,3
afirmo,1
asselo,1
anibais,1
marcelo,1
informação,2
informarte,1
enoja,1
verlhe,1
folgarás,1
milícia,1
ardia,2
contava,4
esquipar,1
navegava,1
naira,1
coalhava,1
capitania,2
sobem,3
purpúreos,1
gera,1
fizera,1
campais,1
aventureiras,1
apascenta,2
assente,2
epicureia,1
experimente,1
espumantes,1
noé,1
comer,1
imagem,1
descreve,1
alçase,1
parti,1
aspecto,2
venerando,4
defunto,1
houver,2
grega,3
insígnia,1
cometo,1
temerário,1
vário,1
navego,1
ajudais,1
alague,1
mo,1
peregrinando,1
mavórcios,1
canace,1
hospícios,1
adquirida,1
derribado,1
escapando,1
pendia,1
salvarse,1
judaico,2
acrescentarse,1
bastava,1
misérias,1
cercassem,1
tornassem,1
honrassem,1
inventaram,1
deitaram,2
valorosos,1
prezar,1
favores,2
escritores,1
espertar,1
curiosos,1
porem,1
merecerem,1
males,1
principalmente,1
engrandeça,1
daimo,1
jurado,1
empregue,1
lisonja,1
louve,1
sob,1
agradecido,1
creiais,1
comum,1
antepuser,1
ambicioso,2
quisesse,2
cargos,1
cantarei,1
torpes,2
comprazer,1
vulgo,2
errante,1
proteio,1
camenas,2
cuideis,2
guardarse,1
severamente,1
servil,1
taxar,1
rapace,1
escassa,1
aventuraram,1
perdendoa,1
dilataram,1
merecida,1
acompanharam,1
dobrarão,1
concedida,1
tomo,1
alento,1
folgado,1
oitavo,1
barba,4
penteada,1
paulo,5
discreta,1
figuras,5
aspectos,1
conquistou,1
usou,1
guadiana,2
elísio,1
contentou,1
sepultura,4
tirso,1
amido,1
pisa,2
